show_id,director_1,director_2
s212,Bhushan Patel,NULL
s213,NULL,NULL
s214,NULL,NULL
s215,Magnus Martens,NULL
s216,Apoorva Lakhia,NULL
s217,Raj Nidimoru,Krishna D.K.
s218,Milan Luthria,NULL
s219,NULL,NULL
s220,NULL,NULL
s221,NULL,NULL
s222,Joshua Rofé,NULL
s223,Brad Anderson,NULL
s224,Mauricio Dias,Tatiana Villela
s225,NULL,NULL
s226,NULL,NULL
s227,NULL,NULL
s228,Angel Kristi Williams,NULL
s229,Roger Donaldson,NULL
s230,Christopher Alender,NULL
s231,Rush Sturges,NULL
s232,David Oyelowo,NULL
s233,NULL,NULL
s234,Mark Lo,NULL
s235,NULL,NULL
s236,Crystal Moselle,NULL
s237,Rathindran R Prasad,NULL
s238,Rathindran R Prasad,NULL
s239,Rathindran R Prasad,NULL
s240,Rathindran R Prasad,NULL
s241,Han Kwang Il,NULL
s242,NULL,NULL
s243,NULL,NULL
s244,NULL,NULL
s245,Karim El Shenawy,NULL
s246,NULL,NULL
s247,Yin Chen-hao,NULL
s248,Brian Andrew Mendoza,NULL
s249,NULL,NULL
s250,Dave Needham,NULL
s251,Veronica Velasco,NULL
s252,Drake Doremus,NULL
s253,Miguel Alexandre,NULL
s254,Mani Ratnam,NULL
s255,NULL,NULL
s256,Michael Harte,NULL
s257,Tosin Igho,NULL
s258,Mani Ratnam,NULL
s259,Alice Filippi,NULL
s260,Paakhi Tyrewala,NULL
s261,NULL,NULL
s262,Bruno Garotti,NULL
s263,Laura Brownson,NULL
s264,NULL,NULL
s265,Steve Brill,NULL
s266,NULL,NULL
s267,NULL,NULL
s268,Jane Campion,NULL
s269,Moses Inwang,NULL
s270,NULL,NULL
s271,Ferdinando Cito Filomarino,NULL
s272,NULL,NULL
s273,NULL,NULL
s274,Juan Carlos Medina,NULL
s275,NULL,NULL
s276,NULL,NULL
s277,Inma Torrente,NULL
s278,NULL,NULL
s279,Julián Gaviria,NULL
s280,Steven Yamamoto,NULL
s281,NULL,NULL
s282,Charles Uwagbai,NULL
s283,Julián Hernández,NULL
s284,Sam Hobkinson,NULL
s285,Vince Marcello,NULL
s286,Jonathan Teplitzky,NULL
s287,NULL,NULL
s288,Sakon Tiacharoen,NULL
s289,NULL,NULL
s290,NULL,NULL
s291,Floyd Russ,NULL
s292,NULL,NULL
s293,Dustin Hoffman,NULL
s294,Adze Ugah,NULL
s295,Hideaki Takizawa,NULL
s296,Quoc Bao Tran,NULL
s297,NULL,NULL
s298,Bejoy Nambiar,Priyadarshan
s299,Kayode Kasum,NULL
s300,Just Philippot,NULL
s301,Kirk DeMicco,Brandon Jeffords
s302,Rohit Shetty,NULL
s303,Cavi Borges,Luciano Vidigal
s304,Alejandro Doria,NULL
s305,Laura Fairrie,NULL
s306,Marcelo Piñeyro,NULL
s307,Izu Ojukwu,NULL
s308,Peter Winther,NULL
s309,Susan Lacy,NULL
s310,NULL,NULL
s311,Billy Corben,NULL
s312,NULL,NULL
s313,NULL,NULL
s314,NULL,NULL
s315,James Mangold,NULL
s316,Chineze Anyaene,NULL
s317,Hsu Fu-chun,NULL
s318,Kristine Stolakis,NULL
s319,Eva Müller,Michael Schmitt
s320,NULL,NULL
s321,NULL,NULL
s322,NULL,NULL
s323,NULL,NULL
s324,NULL,NULL
s325,NULL,NULL
s326,Brian Levant,NULL
s327,Rod Daniel,NULL
s328,Robert Zemeckis,NULL
s329,Todor Chapkanov,NULL
s330,Steven Spielberg,NULL
s331,Phil Lord,Christopher Miller
s332,NULL,NULL
s333,Renny Harlin,NULL
s334,John Hughes,NULL
s335,Justin Baldoni,NULL
s336,Joe Roth,NULL
s337,NULL,NULL
s338,Mark Helfrich,NULL
s339,NULL,NULL
s340,Mag Hsu,Hsu Chih-yen
s341,Christopher Nolan,NULL
s342,Paul Thomas Anderson,NULL
s343,Nick Castle,NULL
s344,Howard Zieff,NULL
s345,Howard Zieff,NULL
s346,David Feiss,NULL
s347,David Gordon Green,NULL
s348,Jorge Blanco,NULL
s349,Zara Hayes,NULL
s350,Gary Ross,NULL
s351,Clint Eastwood,NULL
s352,Trey Parker,NULL
s353,Kelly Fremon Craig,NULL
s354,Tom Elkins,NULL
s355,Tony Scott,NULL
